date,HomeTeam,AwayTeam,B365H,B365D,B365A,BWH,BWD,BWA
2014-03-01,Stoke,Arsenal,5.5,3.8,1.73,5.25,3.7,1.65
2014-03-02,Aston Villa,Norwich,2.1,3.4,3.9,1.95,3.4,3.75
2014-03-02,Swansea,Crystal Palace,1.85,3.5,5.0,1.75,3.3,5.0
2014-03-02,Tottenham,Cardiff,1.33,5.25,12.0,1.31,5.0,9.75
2014-03-08,Cardiff,Fulham,2.35,3.5,3.2,2.25,3.2,3.25
2014-03-08,Chelsea,Tottenham,1.57,4.0,7.0,1.57,3.75,6.25
2014-03-08,Crystal Palace,Southampton,3.9,3.3,2.15,3.5,3.25,2.1
2014-03-08,Norwich,Stoke,2.25,3.3,3.6,2.25,3.1,3.4
2014-03-08,West Brom,Man United,5.0,3.6,1.83,4.75,3.6,1.72
2014-03-15,Aston Villa,Chelsea,7.0,4.33,1.53,7.25,4.0,1.48
2014-03-15,Everton,Cardiff,1.36,5.0,11.0,1.31,5.0,9.75
2014-03-15,Fulham,Newcastle,2.9,3.4,2.6,2.85,3.3,2.45
2014-03-15,Hull,Man City,6.5,4.33,1.57,6.25,4.0,1.53
2014-03-15,Southampton,Norwich,1.62,4.0,6.5,1.57,3.8,6.0
2014-03-15,Stoke,West Ham,2.25,3.3,3.6,2.2,3.2,3.4
2014-03-15,Sunderland,Crystal Palace,2.15,3.3,3.9,2.05,3.1,4.0
2014-03-15,Swansea,West Brom,1.95,3.6,4.33,1.91,3.4,4.0
2014-03-16,Man United,Liverpool,2.5,3.6,2.9,2.45,3.3,2.8
2014-03-16,Tottenham,Arsenal,3.1,3.4,2.45,2.95,3.2,2.4
2014-03-22,Cardiff,Liverpool,9.5,5.25,1.36,7.5,5.0,1.37
2014-03-22,Chelsea,Arsenal,1.85,3.6,4.75,1.87,3.4,4.25
2014-03-22,Everton,Swansea,1.67,3.9,6.0,1.62,3.5,6.25
2014-03-22,Hull,West Brom,2.25,3.3,3.6,2.1,3.25,3.5
2014-03-22,Man City,Fulham,1.17,9.0,17.0,1.16,8.0,13.0
2014-03-22,Newcastle,Crystal Palace,1.85,3.6,4.75,1.8,3.5,4.5
2014-03-22,Norwich,Sunderland,2.2,3.3,3.75,2.1,3.25,3.5
2014-03-22,West Ham,Man United,4.5,3.6,1.91,4.2,3.7,1.8
2014-03-23,Aston Villa,Stoke,2.2,3.3,3.75,2.1,3.2,3.6
2014-03-23,Tottenham,Southampton,2.25,3.4,3.5,2.1,3.25,3.5
2014-03-25,Arsenal,Swansea,1.57,4.2,6.5,1.5,4.2,6.25
2014-03-25,Man United,Man City,3.5,3.6,2.15,3.3,3.4,2.15
2014-03-25,Newcastle,Everton,3.5,3.4,2.25,3.4,3.2,2.2
2014-03-26,Liverpool,Sunderland,1.17,9.0,19.0,1.16,7.5,14.5
2014-03-26,West Ham,Hull,2.4,3.3,3.3,2.2,3.25,3.3
2014-03-29,Arsenal,Man City,3.6,3.5,2.15,3.5,3.6,2.0
2014-03-29,Crystal Palace,Chelsea,10.0,4.75,1.4,7.5,4.6,1.4
2014-03-29,Man United,Aston Villa,1.45,4.75,8.0,1.44,4.4,7.0
2014-03-29,Southampton,Newcastle,1.75,3.8,5.25,1.72,3.4,5.25
2014-03-29,Stoke,Hull,2.15,3.3,3.9,2.1,3.2,3.6
2014-03-29,Swansea,Norwich,1.73,3.9,5.25,1.72,3.5,5.0
2014-03-29,West Brom,Cardiff,1.83,3.75,4.75,1.8,3.6,4.33
2014-03-30,Fulham,Everton,5.0,3.75,1.8,4.5,3.7,1.75
